Nutrient,Retention (%),Notes
"USDA Nutrient Data Laboratory (2007). Table of Nutrient Retention Factors, Release 6. USDA-ARS. https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/retn06.pdf — Gold standard for vitamins and minerals in simmered meat.",,
"Bognar, A. (2002). Tables on Weight Yield of Food and Retention Factors of Food Constituents. Bundesforschungsanstalt für Ernährung / FAO. https://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf — Covers retention including moist heat cooking with and without liquid.",,
"Larsen, R. et al. (2007). Losses of taurine, creatine, glycine and alanine from cod fillet during processing. Food Chemistry, 105(4). https://www.sciencedirect.com/science/article/abs/pii/S0889157506001633 — Taurine TR = 69–73% for boiling (solid only).",,
"Spitze, A.R. et al. (2003). Taurine concentrations in animal feed ingredients; cooking influences taurine content. Zoo Biology, 22(5). PubMed ID: 12864905 — Baking/frying > taurine retention than boiling; confirms water-based cooking as main loss mechanism.",,
"Dragnes, B.T. et al. (2009). Impact of processing on taurine content in processed seafood. Food Chemistry, 117(4) — brined + cooked retention ~70%.",,
"Jakobsen, J. & Saxholt, E. (2014). Stability of vitamin D in foodstuffs during cooking. Food Chemistry, 148. PMID: 24262542 — Boiled eggs: 86–88% Vit D retention.",,
"Phonsatta et al. (2022). Effects of different cooking methods on vitamin D content of fish in Thailand. Foods, 11(6). PMC8947738 — Boiling/roasting fish: yield factor 0.8–0.9.",,
"Choo, J.X. et al. (2018). Cooking methods affect total fatty acid composition and DHA/EPA retention in fish fillets. ScienceAsia, 44. DOI:10.2306/scienceasia1513-1874.2018.44.092 — Steaming > boiling for DHA/EPA.",,
"Suryati, M.A. et al. (2022). Review on retention of long-chain omega-3 PUFA in fish as affected by cooking methods. International Food Research Journal, 29(5):975–990 — Comprehensive review confirming moist-heat superiority.",,
"Bailey, H.M. et al. (2020). Most meat products have digestible indispensable amino acid scores that are superior to plant proteins. British Journal of Nutrition. — Amino acid bioavailability in cooked meat.",,
"Murphy, E.W., Criner, P.E., Gray, B.C. (1975). Comparison of Methods for Determining Retentions of Nutrients in Cooked Foods. J. Agriculture and Food Chemistry, 23:1153–1157. — Foundational methodology for USDA retention factors.",,
,,
Sonnet 4.6,,
